iter	RMSE
0	14.60986197
1	14.20010142
2	13.80674032
3	13.46677459
4	13.13080725
5	12.81273868
6	12.51687161
7	12.23652697
8	11.96534658
9	11.72058321
10	11.47235514
11	11.24380715
12	11.01598327
13	10.79148947
14	10.60786914
15	10.43422192
16	10.26940949
17	10.11942246
18	9.965466902
19	9.825426267
20	9.681554858
21	9.56936961
22	9.488246547
23	9.378941308
24	9.262267966
25	9.172450127
26	9.089698888
27	8.99397198
28	8.913237414
29	8.83361334
30	8.762834596
31	8.704047399
32	8.638994346
33	8.58130307
34	8.529973024
35	8.479556941
36	8.424338354
37	8.379051231
38	8.332304277
39	8.293795141
40	8.25239583
41	8.214137203
42	8.18126537
43	8.144643143
44	8.109905996
45	8.083625975
46	8.05514817
47	8.0330131
48	8.013690692
49	7.993494114
50	7.971738145
51	7.950896109
52	7.93547121
53	7.918250051
54	7.901530778
55	7.881312145
56	7.872221686
57	7.853598028
58	7.837391982
59	7.820512806
60	7.806387172
61	7.79564103
62	7.779787659
63	7.765826076
64	7.75055119
65	7.73737739
66	7.723788567
67	7.712240745
68	7.697683611
69	7.687956368
70	7.677022712
71	7.664825179
72	7.658285897
73	7.650634673
74	7.639081288
75	7.632578182
76	7.618926927
77	7.601582949
78	7.590195128
79	7.587741381
80	7.581198264
81	7.570825332
82	7.563109434
83	7.553752552
84	7.547170384
85	7.540624142
86	7.532790013
87	7.528041712
88	7.524584132
89	7.518816212
90	7.512900445
91	7.50746389
92	7.498380448
93	7.490624141
94	7.483651167
95	7.475265306
96	7.469587217
97	7.459108023
98	7.455380953
99	7.450494662
