iter	Passed	Remaining
0	138	138608
1	139	69776
2	140	46821
3	141	35347
4	142	28447
5	143	23838
6	144	20552
7	145	18087
8	146	16173
9	147	14648
10	148	13363
11	149	12325
12	150	11408
13	151	10647
14	152	10000
15	153	9428
16	154	8922
17	155	8473
18	156	8073
19	157	7710
20	158	7382
21	159	7083
22	160	6809
23	161	6557
24	162	6328
25	163	6116
26	164	5921
27	165	5740
28	166	5569
29	167	5411
30	168	5262
31	169	5122
32	170	4993
33	171	4871
34	172	4749
35	173	4641
36	174	4541
37	175	4445
38	176	4355
39	177	4267
40	178	4182
41	179	4102
42	180	4024
43	181	3948
44	182	3876
45	183	3808
46	184	3744
47	185	3682
48	186	3622
49	187	3566
50	188	3512
51	189	3459
52	190	3407
53	191	3357
54	192	3308
55	193	3262
56	194	3212
57	195	3170
58	196	3129
59	197	3088
60	197	3044
61	198	3006
62	199	2970
63	200	2935
64	201	2901
65	202	2868
66	203	2835
67	204	2804
68	205	2773
69	206	2743
70	207	2714
71	208	2686
72	209	2659
73	210	2632
74	211	2606
75	212	2581
76	213	2557
77	214	2534
78	215	2511
79	216	2488
80	217	2466
81	218	2443
82	219	2423
83	220	2401
84	221	2379
85	222	2359
86	223	2340
87	223	2321
88	224	2302
89	225	2284
90	226	2266
91	227	2248
92	228	2230
93	229	2213
94	230	2197
95	231	2176
96	231	2155
97	232	2140
98	233	2125
99	234	2109
100	235	2094
101	236	2079
102	237	2066
103	238	2053
104	239	2040
105	240	2026
106	241	2014
107	242	2001
108	243	1989
109	244	1976
110	245	1963
111	246	1951
112	247	1939
113	248	1928
114	249	1917
115	250	1905
116	251	1895
117	252	1884
118	252	1870
119	253	1859
120	254	1849
121	255	1839
122	256	1828
123	257	1819
124	258	1809
125	259	1799
126	260	1790
127	261	1780
128	262	1771
129	263	1762
130	264	1753
131	265	1744
132	266	1735
133	267	1727
134	268	1718
135	269	1710
136	270	1701
137	270	1691
138	271	1683
139	272	1674
140	273	1667
141	274	1659
142	275	1651
143	276	1644
144	277	1636
145	278	1629
146	279	1622
147	280	1617
148	281	1610
149	282	1602
150	283	1595
151	284	1588
152	285	1581
153	286	1574
154	287	1567
155	288	1561
156	289	1552
157	290	1545
158	291	1539
159	292	1533
160	293	1527
161	294	1521
162	295	1515
163	296	1509
164	297	1503
165	297	1497
166	298	1491
167	299	1485
168	300	1479
169	301	1473
170	302	1467
171	303	1461
172	304	1455
173	305	1450
174	306	1444
175	307	1439
176	308	1434
177	309	1428
178	310	1423
179	311	1418
180	312	1413
181	313	1408
182	314	1403
183	315	1398
184	316	1393
185	317	1387
186	318	1382
187	318	1377
188	319	1372
189	320	1367
190	321	1363
