iter	Passed	Remaining
0	152	152453
1	153	76731
2	154	51479
3	155	38840
4	157	31256
5	158	26240
6	159	22659
7	161	20011
8	162	17886
9	164	16308
10	166	14959
11	168	13846
12	169	12890
13	171	12083
14	174	11487
15	176	10870
16	178	10292
17	179	9773
18	180	9310
19	181	8886
20	182	8509
21	183	8163
22	184	7846
23	185	7563
24	187	7303
25	190	7122
26	191	6888
27	192	6668
28	193	6465
29	194	6276
30	195	6100
31	196	5933
32	197	5776
33	198	5630
34	199	5491
35	200	5359
36	201	5234
37	202	5116
38	203	5019
39	205	4923
40	206	4826
41	208	4761
42	210	4678
43	211	4589
44	212	4507
45	213	4425
46	214	4346
47	215	4271
48	216	4201
49	218	4149
50	219	4089
51	220	4027
52	222	3967
53	223	3911
54	224	3854
55	225	3800
56	226	3747
57	227	3698
58	228	3650
59	229	3602
60	231	3556
61	232	3513
62	233	3474
63	234	3432
64	235	3391
65	236	3352
66	238	3314
67	239	3277
68	240	3240
69	241	3205
70	242	3170
71	243	3136
72	244	3105
73	245	3073
74	246	3041
75	248	3019
76	249	2989
77	250	2961
78	251	2933
79	252	2906
80	253	2878
81	254	2853
82	255	2822
83	256	2796
84	257	2772
85	258	2750
86	260	2732
87	261	2711
88	263	2692
89	264	2670
90	265	2648
91	266	2628
92	267	2608
93	268	2587
94	269	2568
95	270	2549
96	271	2531
97	273	2513
98	274	2495
99	276	2485
100	277	2468
101	278	2452
102	279	2436
103	280	2419
104	281	2403
105	283	2387
106	284	2372
107	285	2358
108	286	2343
109	287	2329
110	288	2314
111	291	2307
112	292	2295
113	293	2281
114	294	2268
115	295	2255
116	296	2240
117	297	2226
118	299	2213
119	300	2202
120	301	2190
121	302	2176
122	303	2164
123	305	2157
124	306	2147
125	307	2135
126	308	2121
127	309	2110
128	310	2099
129	311	2087
130	313	2076
131	314	2065
132	315	2054
133	316	2043
134	317	2033
135	318	2023
136	319	2013
137	321	2007
138	322	1997
139	323	1987
140	324	1978
141	325	1965
142	326	1956
143	329	1959
144	330	1951
145	333	1949
146	334	1943
147	336	1936
148	337	1928
149	338	1919
150	339	1910
151	340	1901
152	341	1892
153	342	1884
154	344	1876
155	345	1868
156	346	1859
157	347	1851
158	348	1842
159	350	1837
160	350	1828
161	352	1821
162	353	1814
163	356	1819
164	358	1812
165	360	1810
166	361	1802
167	362	1794
168	363	1787
169	365	1782
170	366	1775
171	367	1768
172	368	1762
173	369	1756
174	371	1749
175	372	1743
176	373	1736
177	374	1730
178	375	1723
179	376	1717
180	377	1710
181	378	1703
182	380	1699
183	381	1692
184	382	1685
185	383	1679
186	384	1672
187	385	1665
188	386	1659
189	387	1653
190	388	1646
191	389	1640
192	390	1633
193	391	1627
194	392	1621
195	393	1614
196	395	1611
197	396	1605
198	397	1599
199	398	1593
200	399	1587
201	400	1581
202	401	1575
203	402	1569
204	403	1565
205	404	1560
206	405	1554
207	407	1550
208	408	1546
209	410	1543
210	411	1537
211	412	1532
212	413	1526
213	414	1521
214	415	1515
215	416	1510
216	417	1505
217	418	1499
218	419	1494
219	419	1489
220	420	1483
221	421	1478
222	422	1473
223	424	1471
224	425	1466
225	426	1461
226	427	1456
227	428	1451
228	429	1446
229	430	1441
230	431	1436
231	432	1431
232	433	1427
233	434	1422
234	435	1417
235	436	1413
236	437	1408
237	439	1405
238	440	1401
239	441	1397
240	442	1392
241	443	1388
242	444	1383
243	445	1379
244	446	1374
245	447	1370
246	448	1366
247	449	1362
248	450	1357
249	451	1353
250	452	1349
251	453	1346
252	454	1342
253	455	1338
254	456	1333
255	457	1329
256	458	1325
257	459	1321
258	460	1317
259	461	1313
260	462	1309
261	463	1305
262	464	1301
263	465	1297
264	466	1294
265	469	1295
266	470	1291
267	471	1288
268	472	1284
269	473	1280
270	474	1277
271	475	1273
272	476	1269
273	477	1266
274	478	1262
275	479	1258
276	480	1255
277	481	1251
278	484	1251
279	485	1247
280	486	1244
281	487	1241
282	488	1237
283	489	1234
284	490	1231
285	491	1227
286	492	1224
287	494	1221
288	495	1218
289	496	1215
290	498	1214
291	499	1211
292	500	1208
293	501	1204
294	502	1201
295	503	1197
296	504	1194
297	505	1190
298	506	1187
299	507	1184
300	508	1181
301	509	1178
302	510	1175
303	512	1172
304	513	1171
305	515	1168
306	516	1165
307	517	1162
308	518	1159
309	519	1156
310	520	1153
311	521	1150
312	522	1147
313	523	1144
314	525	1141
315	526	1138
316	528	1138
317	530	1137
318	531	1135
319	533	1132
320	534	1129
321	535	1127
322	536	1124
323	537	1121
324	538	1119
325	539	1116
326	541	1113
327	542	1112
328	544	1109
329	545	1107
330	546	1104
331	547	1101
332	548	1099
333	549	1096
334	550	1093
335	551	1090
336	553	1088
337	554	1085
338	555	1082
339	556	1080
340	558	1079
341	559	1076
342	560	1073
343	561	1070
344	562	1068
345	563	1066
346	565	1063
347	566	1060
348	567	1058
349	568	1056
350	569	1053
351	570	1051
352	572	1049
353	573	1047
354	574	1044
355	576	1042
356	577	1039
357	578	1036
358	579	1034
359	580	1032
360	581	1029
361	582	1027
362	583	1024
363	585	1022
364	586	1020
365	588	1018
366	589	1016
367	590	1014
368	591	1012
369	592	1009
370	594	1007
371	595	1004
372	596	1002
373	597	1000
374	598	997
375	599	995
376	600	992
377	602	991
378	603	988
379	604	986
380	605	984
381	607	982
382	608	979
383	609	977
384	610	975
385	611	973
386	612	970
387	614	968
388	615	966
389	617	965
390	618	963
391	619	961
392	620	958
393	621	956
394	622	954
395	624	951
396	625	949
397	626	947
398	627	945
399	628	943
400	630	941
401	631	940
402	633	937
403	634	935
404	635	934
405	637	931
406	638	929
407	639	927
408	640	925
409	641	923
410	642	920
411	643	918
412	645	916
413	646	915
414	648	913
415	649	912
416	651	910
417	652	908
418	653	905
419	654	903
420	655	901
421	656	899
422	657	897
423	658	894
424	659	892
425	661	891
426	662	889
427	663	886
428	664	884
429	666	883
430	667	881
431	668	878
432	669	876
433	670	874
434	671	872
435	672	869
436	673	867
437	674	865
438	676	864
439	677	862
440	678	860
441	679	858
442	680	856
443	681	853
444	682	851
445	683	849
446	684	847
447	686	845
448	686	843
449	688	840
450	689	838
451	690	837
452	692	835
453	693	833
454	694	831
455	695	829
456	696	827
457	697	825
458	698	823
459	699	821
460	700	819
461	701	817
462	702	815
463	703	813
464	705	811
465	707	810
466	708	808
467	709	806
468	710	804
469	711	802
470	712	799
471	713	797
472	714	795
473	715	793
474	716	791
475	717	789
476	718	787
477	719	785
478	720	784
479	721	782
480	723	780
481	724	778
482	725	776
483	726	774
484	727	772
485	728	770
486	729	768
487	731	766
488	732	765
489	733	763
490	735	762
491	736	760
492	738	759
493	739	757
494	740	755
495	741	753
496	742	751
497	743	749
498	744	747
499	745	745
500	746	743
501	747	742
502	749	740
503	750	738
504	751	736
505	752	735
506	753	733
507	755	731
508	756	729
509	757	727
510	758	725
511	759	724
512	761	722
513	762	721
514	763	719
515	765	717
516	766	716
517	767	714
518	768	712
519	769	710
520	770	708
521	772	706
522	773	705
523	774	703
524	775	701
525	776	699
526	777	697
527	778	695
528	780	694
529	781	692
530	782	690
531	783	688
532	784	687
533	785	685
534	786	683
535	787	681
536	788	680
537	789	678
538	791	676
539	792	674
540	793	672
541	794	671
542	795	669
543	796	667
544	797	666
545	798	664
546	799	662
547	800	660
548	801	658
549	802	656
550	804	655
551	805	653
552	806	651
553	807	649
554	808	647
555	809	646
556	810	644
557	811	642
558	812	641
559	813	639
560	814	637
561	815	635
562	816	634
563	818	632
564	819	630
565	820	628
566	821	627
567	821	625
568	822	623
569	824	621
570	825	620
571	826	618
572	827	616
573	828	615
574	830	613
575	831	611
576	832	610
577	833	608
578	834	606
579	835	605
580	836	603
581	837	601
582	839	600
583	840	598
584	841	597
585	842	595
586	843	593
587	844	592
588	846	590
589	847	588
590	848	586
591	849	585
592	850	583
593	851	582
594	852	580
595	854	579
596	855	577
597	857	576
598	859	575
599	860	573
600	861	571
601	862	570
602	863	568
603	864	566
604	865	565
605	867	563
606	869	563
607	871	561
608	872	560
609	874	559
610	876	557
611	877	556
612	878	554
613	879	552
614	880	551
615	881	549
616	882	547
617	884	546
618	886	545
619	887	543
620	888	542
621	889	540
622	890	539
623	891	537
624	893	535
625	894	534
626	895	532
627	896	531
628	900	531
629	902	529
630	903	528
631	904	526
632	906	525
633	907	523
634	908	522
635	909	520
636	910	518
637	911	517
638	913	515
639	914	514
640	915	512
641	916	511
642	917	509
643	919	508
644	920	506
645	921	505
646	922	503
647	923	501
648	925	500
649	926	498
650	928	497
651	929	496
652	931	494
653	933	493
654	934	492
655	935	490
656	936	489
657	938	487
658	939	486
659	940	484
660	941	482
661	943	481
662	944	480
663	945	478
664	947	477
665	948	475
666	949	473
667	950	472
668	951	470
669	952	469
670	953	467
671	955	466
672	956	464
673	958	463
674	959	462
675	960	460
676	961	458
677	962	457
678	963	455
679	965	454
680	966	452
681	967	451
682	968	449
683	969	447
684	970	446
685	972	444
686	973	443
687	974	441
688	975	440
689	976	438
690	978	437
691	979	435
692	980	434
693	981	432
694	983	431
695	984	430
696	985	428
697	987	427
698	988	425
699	989	424
700	990	422
701	992	421
702	993	419
703	994	418
704	995	416
705	996	415
706	997	413
707	998	412
708	999	410
